id,code_pddikti,name,abbreviaton,country,bentuk_pendidikan,korwil_scope,lldikti_scope,website,alamat,description,sinta_score_v2_overall,sinta_score_v2_3year,sinta_score_v2_productivity_overall,sinta_score_v2_productivity_3year,sinta_score_v3_overall,sinta_score_v3_3year,sinta_score_v3_productivity_overall,sinta_score_v3_productivity_3year,province.id,province.code,province.name,city.id,city.code,city.name,pddikti_province.id,pddikti_province.name,pddikti_city.id,pddikti_city.name
394,001006,Universitas Andalas,Unand,ID,Universitas,10,,www.unand.ac.id,Kampus Universitas Andalas Limau Manis,"Universitas Andalas (Unand) adalah salah satu perguruan tinggi negeri Indonesia yang terletak di Kota Padang, Sumatera Barat, Indonesia. Unand dibuka secara resmi pada tanggal 13 September 1956 oleh Wakil Presiden Mohammad Hatta. Unand terdiri dari 15 (lima belas) fakultas, dengan sebagian besar terletak di Limau Manis, sekitar 12 km dari pusat Kota Padang.",299806,122495,207.62,84.83,1618670.74,734722.7015,1082,491.12,3,13,SUMATERA BARAT,69,13.71,KOTA PADANG,080000,Prov. Sumatera Barat,086110,Kec. Pauh
385,001005,Universitas Hasanuddin,UNHAS,ID,Universitas,9,,www.unhas.ac.id,Jl Perintis Kemerdekaan Km 10 Tamalanrea,,589677,262743,327.05,145.73,1529889.464,601789.0585,873.22,343.49,27,73,SULAWESI SELATAN,420,73.71,KOTA MAKASSAR,190000,Prov. Sulawesi Selatan,196000,Kota Makassar
9,001041,Universitas Negeri Semarang,UNNES,ID,Universitas,,,http://unnes.ac.id,Gedung H (Rektorat) Kampus Unnes Sekaran Gunungpati,"Universitas Negeri Semarang (UNNES) adalah universitas berwawasan konservasi. Visi UNNES adalah menjadi Universitas Berwawasan Konservasi dan Bereputasi Internasional.    Berwawasan konservasi bermakna cara pandang dan sikap perilaku yang berorientasi pada prinsip konservasi (pengawetan, pemeliharaan, penjagaan, pelestarian, dan pengembangan) sumber daya alam dan nilai-nilai sosial budaya. Prinsip tersebut menjadi landasan dalam kegiatan tri dharma perguruan tinggi.    Bereputasi internasional bermakna universitas yang memiliki citra dan nama baik dalam pergaulan internasional serta menjadi rujukan dalam kegiatan tridarma perguruan tinggi di tingkat internasional.    Rumah Ilmu    Sebagai lembaga pendidikan, UNNES bertekad mengembangkan diri menjadi rumah ilmu pengembang peradaban unggul.  Dengan tekad itu, UNNES menjaga jati dirinya sebagai lembaga ilmu pengetahuan yang bertugas mengembangkan potensi sumber daya manusia Indonesia untuk membangun keunggulan bangsa dan manfaat bagi manusia dan kemanusiaan.    Dengan menjadi rumah ilmu berarti UNNES selalu menggunakan ilmu sebagai dasar dalam setiap kegiatan. Kegiatan keilmuan terepresentasi dalam bentuk kegiatan intrakurikuler dan ekstrakurikuler, bidang akademik maupun nonakademik.    Secara akademik, kegiatan pengembangan keilmuan dilaksanakan di program studi, laboratorium, dan kegiatan lainnya. Adapun secara nonakademik, ilmu menjadi dasar dalam pengelolaan dan pengambilan kebijakan universitas.    Pengembang Peradaban Unggul    Sebagai lembaga pendidikan UNNES menjalankan tugas kebangsaan untuk menyelenggarakan pendidikan  mengembangkan peradaban unggul demi kepentingan bangsa, negara, dan masyarakat dunia. Peradaban unggul yang dimaksudkan adalah sumber daya manusia yang unggul, nilai-nilai yang unggul.    Untuk meraih itu, UNNES menyelenggarakan program pendidikan vokasi (D3), sarjana (S1), magister (S2), doktor (S3), dan pendidikan profesi. Terdapat 85 program studi yang dikelola dalam delapan fakultas dan program pascasarjana.",358232,139711,336.37,131.18,1343822.877,440448.8095,1093.43,358.38,13,33,JAWA TENGAH,220,33.74,KOTA SEMARANG,030000,Prov. Jawa Tengah,036302,Kec. Gunung Pati
414,001034,Universitas Pendidikan Indonesia,UPI,ID,Universitas,,,www.upi.edu,Jalan Dr Setiabudhi No 229,"Formerly a teacherâs college, Universitas Pendidikan Indonesia (UPI) is a comprehensive university that currently offers diverse fields such as educational sciences, education-based disciplines, religion, humanities, and social sciences, both pure and applied sciences. Given its wider mandate, UPI also grows in academic community the value of cross-fertilization of pure and applied disciplines.    To develop its global competitiveness, the university has taken leading and outstanding as the motto. Leading means that UPI manages to become the cutting edge of educational innovations. Meanwhile, outstanding indicates the university competitiveness as a regionally and globally prominent higher education institution with its unique and distinctive characteristics and specialties.",349848,186615,236.86,126.35,1325326.055,597465.936,808.62,364.53,12,32,JAWA BARAT,181,32.73,KOTA BANDUNG,020000,Prov. Jawa Barat,026000,Kota Bandung
438,001033,Universitas Negeri Malang,UM,ID,Universitas,,,www.um.ac.id,Jalan Semarang 5 Malang,,392319,188412,353.76,169.89,1284182.5905,642647.975,1145.57,573.28,15,35,JAWA TIMUR,259,35.73,KOTA MALANG,050000,Prov. Jawa Timur,056105,Kec. Lowokwaru
433,001013,Universitas Udayana,UNUD,ID,Universitas,,,www.unud.ac.id,"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali","Universitas Udayana (Unud) merupakan perguruan tinggi negeri tertua di Bali yang berdiri tahun 1958. Pendirian Unud diawali dengan dibukanya Fakultas Sastra  pada 29 September 1958 sebagai cabang Universitas Airlangga Surabaya yang diresmikan oleh Presiden Dr. Ir. Soekarno. Fakultas Sastra dikenal sebagai embrio berdirinya Unud, sehingga diakui sebagai tanggal resmi berdirinya Unud pada tanggal 17 Agustus 1962 berdasarkan Keputusan Menteri Perguruan Tinggi dan Ilmu Pengetahuan Nomor 104 Tahun 1962 tanggal 9 Agustus 1962, yang dikukuhkan dengan Surat Keputusan Presiden Nomor 18 Tahun 1963 tanggal 13 Januari 1963.    Pada saat ini Unud memiliki 13 Fakultas dan 1 Program Pascasarjana. Jumlah Program Studi adalah 119 yang terdiri atas Program Diploma III sebanyak 3, Sarjana/Sarjana Terapan sebanyak 49, Program Profesi 1 Tahun sebanyak 3, Profesi 2 Tahun sebanyak 5, Program Magister sebanyak 27, Program Pendidikan Dokter Spesialis sebanyak 19, dan Program Doktor sebanyak 13. Terdapat 3 Program Studi (Prodi) yang di Indonesia hanya ditawarkan oleh Unud yaitu Prodi S-2 Ergonomi, Prodi S-2 Biomedik Konsentrasi Anti Aging, dan Prodi Sastra Bali. Bahkan ada 1 Prodi yang satu-satunya di dunia yaitu Prodi Sastra Jawa Kuna.    Pulau Bali yang dikenal sebagai daerah yang kaya dengan tradisi, adat istiadat, dan budaya, serta dikenal sebagai daerah tujuan wisata, baik nasional maupun internasional merupakan sumber inspirasi bagi sivitas akademika Unud untuk menyusun visi, misi, tujuan, dan strategi (VMTS) yang tertuang dalam Renstra Unud 2020-2024. Dalam setiap penyesuaian VMTS, Unud melibatkan pihak internal dan eksternal. Pihak internal yang terlibat adalah unsur pimpinan fakultas, perwakilan dosen, mahasiswa, dan tenaga kependidikan. Sedangkan pihak eksternal antara lain Ikatan Alumni Universitas Udayana (IKAYANA) dan pihak pengguna, baik unsur pemerintah maupun swasta serta masyarakat, yang tergabung dalam pentahelix, meliputi unsur: pemerintah, akademisi, pengusaha, masyarakat, dan media. Selain itu penyesuaian VMTS juga mempertimbangkan kemajuan ipteks, kebutuhan pengembangan perguruan tinggi, dan kebijakan-kebijakan pemerintah dalam pengembangan perguruan tinggi, diantaranya kebijakan Merdeka Belajar-Kampus Merdeka (MBKM).    Visi Unud telah ditetapkan pada tahun 2005 dan direvisi kembali sesuai dengan tercantum pada Permenristekdikti No. 34 Tahun  2017 tentang Statuta Unud. Rumusan tentang Visi, Misi, dan Tujuan Unud dituangkan dalam Surat Keputusan Rektor Unud No. 426/UN14/HK/2019 tanggal 22 April 2019.",322785,139731,203.52,88.1,1234157.937,365059.451,816.78,241.6,17,51,BALI,276,51.03,KAB. BADUNG,220000,Prov. Bali,220400,Kab. Badung
497,001032,Universitas Negeri Padang,UNP,ID,Universitas,10,,www.unp.ac.id,Jalan Prof Dr Hamka Kampus Air Tawar  Padang  Sumatera Barat,"Universitas Negeri Padang (UNP) which developed at this time has gone through various periods. This period began with the Teacher Education College (PTPG) which was established in 1954 in Batusangkar. Then, it changed into Institute for Teacher Training and Education (IKIP) and becoming the State University of Padang (UNP) in 1999. Universitas Negeri Padang is headquartered in Padang City, West Sumatra, Indonesia. Today, UNP has developed into the 25th ranked University in Indonesia. UNP has 8 (eight) faculties. UNP is now a public university in the form of a Public Service Institution, UNP researchers focus on developing digital learning and traditional cuisine",235501,159199,191.93,129.75,1200204.99,522410.035,812.6,353.7,3,13,SUMATERA BARAT,69,13.71,KOTA PADANG,080000,Prov. Sumatera Barat,086100,Kota Padang
444,,Badan Riset dan Inovasi Nasional,BRIN,ID,,,,http://brin.go.id,,,1120739,297489,,,1161488.5585,245928.0505,,,11,31,DKI JAKARTA,156,31.71,KOTA ADM. JAKARTA PUSAT,,,,
441,001003,Universitas Sumatera Utara,USU,ID,Universitas,1,,www.usu.ac.id,Jalan Dr T Mansur No 9 Padang Bulan,,419120,189581,258.72,117.03,1158763.04,430006.757,776.13,288.02,2,12,SUMATERA UTARA,49,12.71,KOTA MEDAN,070000,Prov. Sumatera Utara,076000,Kota Medan
1093,041057,Universitas Telkom,Tel-U,ID,Universitas,4,4,http://www.telkomuniversity.ac.id,"Jl. Telekomunikasi Terusan Buah Batu  Bandung-40257, Jawa Barat, Indonesia","Telkom University is one of the biggest and most modern private universities in Indonesia. Fast growth of ICT  (Information and Communication Technology) combined with the cultural diversity of Indonesia leads Telkom University to focus on ICT-based education and research in the field of engineering, business, and creative industry. Telkom University was launched on 14th August 2013, a merger of four higher education institutions belonging to PT Telekomunikasi Indonesia Tbk, which is the biggest telecommunication corporate owned by Indonesia Government. The grand launching was held on 31st August 2013 by the Minister of Education and Culture Ã¯Â¿Â½ Professor Mohammad Nuh, the CEO of Telkom Group Ã¯Â¿Â½ Dr. Arief Yahya, and the Chairman of Telkom Foundation Ã¯Â¿Â½ Johni Girsang, M.Sc.    By the spirit of Ã¯Â¿Â½Creating the FutureÃ¯Â¿Â½, within 4 years after establishment, Telkom University has turned up to be a world-class university consisting of 7 faculties (schools) and 31 programs (departments) for undergraduate and graduate studies as follows:    School of Electrical Engineering  School of Industrial Engineering  School of Computing  School of Economic Business  School of Communication and Business  School of Creative Industry  School of Applied Sciences    The student body was grown very rapidly from 17,000 to 30,000 including international students from 28 countries such as Timor Leste, Malaysia, Thailand, South Korea, Cambodia, Vietnam, The Netherlands, Germany, Croatia, Jordania, Sudan, etc. Thus, international classes are also offered for students, where the content is delivered in English. The program provides international short term visit, exchange, or double degree with partner university including Wosoong University (Korea), Kumoh Institute of Technology (Korea), Kumamoto University (Japan), Saxion University (the Netherlands), UUM Malaysia, UTHM Malaysia etc.    Wide areas of research are covered by 32 research groups, and 120 laboratories. Available Research Centers at Telkom University include    ICT Business and Public Policy  Digital Business Ecosystem  Advanced Wireless Technology  Center for Internet of Things  An Innovation Center, namely Bandung Techno Park (BTP) actively involves developing and mentoring start up company, business incubation, and providing technology solution in ICT areas.    Since December 2016, Telkom University has been accredited Ã¯Â¿Â½AÃ¯Â¿Â½, meaning an outstanding institution, assessed by BAN PT (the National Accreditation Board of Higher Education Indonesia). This outstanding accreditation was granted to 48 universities only, among 4500 higher education institutions in Indonesia. Beside recognized as the best institution, recently, recently, almost 70% of all programs offered by the university have achieved the highest grade of accreditation by BAN PT.    In addition, Telkom University received 5 stars from QS Star in 2017, in categories of teaching, employability, innovation, and inclusiveness. Other International accreditation boards such as IABEE and ABEST 21 (Japan) also recognized some departments, while ASIC (Accreditation Services of International Colleges Ã¯Â¿Â½ UK) is assessing 6 programs in the three faculties.         History  1990 : establishment of STT Telkom Bandung, then changed to Institute of Technology Telkom, in 2010  1990 : establishment of MBA Bandung, then changed to Institute of Management Telkom, in 2010  2007 : establishment of Polytechnic Telkom Bandung  2010 : managing STISI Telkom  2013 : merging of four institutions to form TELKOM UNIVERSITY",265533,119705,283.08,127.62,1126488.353,504852.3355,832.59,373.14,12,32,JAWA BARAT,164,32.04,KAB. BANDUNG,020000,Prov. Jawa Barat,020822,Kec. Dayeuhkolot
